data1,data2,data3
1,1,164
0,-1,241
1,1,115
1,1,66
1,1,250
1,-1,60
1,1,190
1,1,192
0,1,140
1,-1,230
1,-1,188
1,-1,208
0,-1,6
0,-1,139
1,-1,263
0,-1,234
0,-1,129
0,-1,233
1,1,206
1,-1,185
0,1,195
0,1,29
0,1,194
1,-1,78
1,1,94
1,-1,136
1,-1,291
1,-1,18
0,1,232
0,-1,135
1,1,162
1,-1,87
1,-1,299
1,1,155
1,1,270
0,1,73
0,1,43
1,1,225
0,1,37
1,-1,152
0,-1,284
0,-1,15
1,-1,56
0,1,297
0,1,293
1,1,138
1,1,17
0,-1,64
1,-1,217
1,-1,132
0,1,187
0,1,72
1,-1,65
1,1,174
0,1,71
0,1,258
1,-1,98
1,1,131
0,1,99
0,1,143
0,-1,124
0,-1,44
0,1,111
0,1,262
1,1,238
1,1,151
0,1,191
1,1,100
1,-1,201
0,1,264
1,1,165
0,1,32
0,1,149
0,1,14
1,1,4
0,1,1
0,-1,209
1,1,235
0,1,198
1,1,20
0,-1,246
1,-1,223
0,1,95
0,-1,63
1,-1,272
0,-1,154
0,-1,197
1,1,25
1,-1,141
1,-1,170
0,1,76
1,1,276
0,-1,77
1,-1,110
1,1,163
0,1,120
1,-1,57
0,1,46
0,1,243
1,-1,142
1,-1,70
0,-1,252
1,-1,118
1,1,176
0,1,186
1,-1,210
0,1,220
0,-1,181
0,-1,168
1,1,259
0,-1,265
0,-1,104
0,1,216
0,1,229
1,1,54
0,-1,116
1,1,93
1,1,160
1,-1,109
1,1,91
1,1,19
0,-1,242
0,-1,178
1,-1,68
0,-1,108
1,1,101
0,1,247
0,-1,59
1,1,33
0,-1,96
0,1,103
1,1,189
1,-1,296
0,-1,287
0,-1,27
0,-1,289
1,-1,183
1,-1,88
0,1,269
0,1,180
1,1,261
1,-1,41
1,1,226
1,1,274
1,-1,89
0,1,50
1,1,42
0,1,236
0,1,153
1,1,58
0,1,240
0,1,158
0,-1,245
0,-1,253
1,-1,231
1,1,196
0,1,207
1,1,113
1,1,167
0,1,117
1,-1,3
1,1,182
1,-1,184
1,-1,97
1,-1,102
0,-1,179
0,-1,219
0,1,267
0,-1,10
0,-1,2
1,1,130
0,1,75
0,-1,61
0,-1,266
0,1,8
1,-1,40
0,1,172
0,1,39
0,1,92
0,1,107
1,-1,249
1,-1,257
0,-1,150
1,1,30
0,-1,112
0,-1,237
0,-1,83
0,-1,166
1,-1,22
1,1,239
0,1,86
1,1,285
1,1,277
0,1,173
1,1,90
0,-1,215
0,-1,283
1,-1,161
1,1,282
0,1,273
1,1,271
0,1,48
0,1,16
0,-1,295
0,1,45
1,-1,222
0,1,82
1,-1,62
1,1,105
0,-1,5
0,1,67
0,-1,278
1,1,148
0,1,300
0,-1,146
1,-1,251
0,1,35
1,1,122
0,-1,268
1,-1,212
0,1,169
1,-1,74
0,1,49
0,1,177
0,-1,133
1,-1,114
1,1,7
0,1,125
0,1,52
0,1,12
0,1,80
1,-1,221
0,1,171
0,1,119
1,1,199
0,-1,53
0,-1,200
0,-1,290
1,-1,79
1,-1,202
0,-1,85
0,-1,34
0,-1,128
0,1,144
0,-1,47
0,1,214
1,-1,175
1,1,227
0,1,21
1,-1,145
0,-1,224
1,-1,147
0,1,31
0,-1,298
0,-1,193
0,1,23
1,1,218
1,1,159
1,1,36
0,1,156
1,-1,55
1,-1,84
1,1,256
0,-1,106
0,1,260
0,-1,127
1,-1,286
1,-1,254
1,1,13
1,1,69
1,-1,205
0,1,211
0,-1,248
1,1,275
1,1,81
1,-1,204
0,-1,11
0,-1,292
0,-1,24
1,1,228
0,1,288
0,-1,281
1,-1,134
0,-1,294
0,1,123
0,1,28
0,-1,280
0,1,244
0,-1,255
0,1,203
0,1,51
0,1,126
1,1,121
1,1,157
0,1,213
0,-1,9
1,-1,26
0,-1,279
1,-1,38
1,1,137
