data1,data2,data3
1,-1,170
1,1,266
1,-1,13
1,-1,222
0,1,83
1,-1,198
0,1,80
1,1,143
1,1,20
0,-1,237
1,1,152
1,-1,248
0,1,203
0,1,276
0,-1,271
0,-1,246
0,1,72
0,-1,197
1,1,111
0,-1,86
1,-1,294
1,-1,256
1,-1,106
0,-1,228
1,1,19
0,-1,131
1,-1,225
0,1,182
1,-1,229
1,-1,97
0,1,140
0,-1,125
1,1,190
1,-1,157
1,1,164
1,-1,175
1,1,196
0,-1,214
1,1,233
1,1,158
0,-1,22
1,1,236
0,1,177
0,-1,298
1,-1,224
0,-1,35
1,1,137
1,1,104
1,-1,254
1,-1,285
1,1,216
1,1,51
0,-1,234
1,-1,281
1,1,25
1,1,123
1,-1,148
0,1,241
1,-1,55
0,-1,277
1,-1,215
1,1,288
1,1,232
0,-1,257
0,-1,138
1,1,167
1,1,240
1,-1,122
1,-1,58
1,-1,9
0,-1,171
0,-1,103
1,1,191
1,1,144
0,1,56
1,1,187
1,-1,124
1,1,282
1,-1,176
0,1,133
1,-1,7
1,1,67
1,1,31
1,1,199
0,1,120
0,1,264
0,-1,10
0,1,239
0,-1,280
1,1,53
0,-1,243
1,-1,87
1,1,74
0,1,192
0,-1,208
1,-1,253
0,1,244
1,-1,116
0,1,113
1,-1,105
0,-1,70
1,1,273
0,-1,14
1,-1,255
0,1,201
0,1,47
1,-1,269
0,1,128
0,1,149
0,-1,286
1,-1,220
0,1,221
1,1,100
0,1,82
0,-1,68
1,-1,193
1,-1,202
0,-1,261
0,-1,89
0,-1,218
1,1,135
1,1,11
1,-1,136
0,1,155
1,-1,1
1,1,69
1,1,99
1,-1,296
1,1,126
0,1,161
1,-1,295
1,1,179
0,1,85
1,1,5
1,-1,274
1,1,166
1,1,37
0,-1,28
0,1,180
1,1,292
1,1,54
0,1,38
1,-1,204
0,1,12
0,1,49
0,-1,17
1,1,211
1,1,147
0,-1,78
0,1,130
1,1,259
1,1,209
0,1,121
1,1,258
1,1,291
0,1,247
0,-1,263
0,1,95
1,-1,189
1,1,300
1,-1,231
0,1,90
1,-1,268
0,-1,6
0,-1,275
1,1,186
1,1,48
1,-1,178
1,-1,114
0,-1,40
1,1,267
0,1,29
1,-1,250
1,1,36
0,-1,212
0,-1,77
1,1,115
0,1,119
1,1,188
1,1,173
1,1,194
1,1,112
0,1,50
0,-1,284
0,-1,27
0,-1,217
1,-1,183
1,1,16
1,-1,262
0,1,73
1,-1,127
1,1,117
1,1,93
0,1,118
0,-1,219
0,-1,245
1,-1,156
0,1,42
0,-1,278
0,-1,252
0,1,159
0,1,33
1,1,75
1,-1,287
0,-1,3
0,-1,24
0,1,63
1,-1,65
1,-1,235
1,-1,283
0,-1,32
0,1,260
1,1,61
1,-1,146
1,1,153
1,-1,57
0,1,41
0,1,162
1,1,110
1,1,4
1,-1,129
1,-1,34
1,1,62
0,-1,26
1,1,15
1,1,200
1,-1,81
1,-1,150
1,1,101
1,-1,46
0,-1,210
0,-1,205
1,-1,8
1,-1,227
0,-1,88
0,-1,107
1,1,109
0,1,21
1,1,213
0,-1,60
0,1,142
1,1,132
0,1,64
0,1,195
1,1,71
1,1,272
1,-1,96
0,1,226
0,1,2
0,1,79
0,-1,270
0,1,172
1,-1,154
0,1,39
1,-1,168
0,-1,18
1,1,92
0,1,293
1,-1,279
0,1,66
0,1,139
1,-1,59
1,-1,108
0,-1,290
1,-1,169
0,-1,134
1,1,94
0,1,160
0,-1,181
1,1,265
1,1,174
1,1,44
1,1,141
0,1,30
1,-1,84
1,-1,23
0,-1,251
1,1,98
1,1,297
1,1,206
0,-1,184
0,1,165
1,1,238
0,1,102
1,1,52
1,-1,223
0,1,151
0,-1,249
1,-1,230
1,1,45
0,-1,163
1,-1,242
0,1,289
1,1,43
0,-1,185
0,1,91
0,-1,299
0,-1,145
0,1,207
1,1,76
