data1,data2,data3
0,1,245
0,-1,24
1,-1,56
1,1,230
1,1,265
1,1,153
0,-1,146
0,1,261
1,-1,1
1,1,188
1,1,290
0,-1,197
1,-1,117
0,1,150
0,-1,58
1,1,45
0,1,121
0,1,203
0,1,282
0,-1,272
1,-1,6
0,1,83
0,-1,123
0,1,221
1,1,159
0,-1,295
1,-1,239
0,1,148
1,-1,227
1,-1,18
0,-1,21
1,1,16
0,-1,161
1,-1,189
1,-1,107
0,1,238
1,-1,79
0,-1,278
0,-1,108
0,-1,280
0,1,209
1,-1,198
1,-1,113
1,-1,70
0,1,128
1,-1,152
0,1,276
1,1,46
0,1,138
1,1,177
0,1,93
1,1,213
1,1,288
0,1,164
0,1,15
1,-1,186
0,1,100
1,1,126
0,-1,169
1,1,204
1,1,51
1,1,130
0,-1,182
1,-1,33
0,-1,31
0,-1,234
1,1,180
0,-1,193
1,1,118
0,-1,218
0,-1,292
0,-1,13
1,1,277
1,-1,40
1,-1,74
0,-1,214
1,-1,233
0,1,101
0,-1,48
1,1,175
0,1,191
1,-1,235
1,1,67
0,-1,266
1,1,151
0,1,72
0,-1,115
0,-1,32
0,1,243
1,1,246
0,1,263
0,1,286
0,1,268
1,1,9
0,1,96
1,1,171
1,-1,215
1,1,232
0,-1,110
0,1,219
1,1,5
1,-1,143
0,-1,258
1,1,212
0,-1,283
0,-1,252
0,-1,129
0,1,112
0,-1,224
0,1,19
1,1,160
1,1,84
0,-1,71
0,-1,140
1,-1,205
0,-1,297
0,-1,95
1,-1,260
0,-1,2
0,1,81
0,-1,242
1,1,106
0,1,279
1,1,222
1,1,73
1,1,10
0,1,179
0,-1,225
0,-1,119
1,1,181
0,1,66
0,1,135
0,1,75
0,-1,176
0,1,133
1,1,77
0,-1,274
0,1,155
0,1,251
0,1,54
0,-1,241
0,-1,187
0,1,228
0,1,34
0,-1,147
1,1,168
0,-1,3
0,-1,60
1,1,134
0,1,42
0,1,103
0,1,257
1,1,132
1,1,29
0,-1,35
1,1,38
0,1,11
0,1,157
1,1,144
0,-1,226
1,1,125
1,-1,14
0,-1,61
1,-1,202
0,-1,47
0,-1,267
0,1,231
1,-1,99
1,-1,122
0,1,165
1,1,44
1,-1,289
1,1,88
0,-1,255
0,1,210
0,1,174
1,-1,281
1,1,247
1,1,90
1,1,111
1,-1,236
0,1,206
0,1,87
0,1,253
0,-1,284
1,-1,269
1,-1,85
1,1,131
0,-1,262
0,-1,120
1,-1,78
0,-1,256
1,-1,291
0,1,59
1,-1,20
0,1,7
0,1,52
0,-1,285
0,1,65
0,-1,264
1,1,4
1,1,114
1,1,37
0,-1,25
0,-1,178
0,1,50
0,-1,199
0,-1,137
1,-1,287
1,-1,208
1,1,244
1,1,217
0,-1,240
0,-1,223
0,-1,296
0,1,184
1,-1,36
0,1,249
0,1,142
1,-1,124
0,-1,68
1,1,27
0,-1,220
0,-1,28
1,-1,53
1,-1,105
1,1,190
0,-1,141
0,-1,98
1,1,299
1,-1,294
1,1,116
1,1,104
1,1,273
1,1,139
1,1,183
1,1,22
0,1,109
1,1,149
0,1,192
0,-1,80
1,1,250
0,-1,91
0,-1,166
0,1,275
0,-1,145
0,1,49
1,1,94
1,1,136
0,-1,89
0,1,43
1,-1,163
0,-1,62
0,1,12
0,1,248
0,-1,271
1,-1,211
0,1,23
1,1,69
0,-1,237
0,-1,216
1,-1,201
1,-1,26
1,-1,55
0,-1,195
0,-1,57
1,-1,170
1,1,270
1,1,207
1,1,102
1,-1,172
0,1,300
0,1,196
0,-1,82
0,1,173
1,-1,76
1,-1,194
0,-1,30
0,1,156
1,1,158
0,-1,127
0,1,8
0,-1,167
0,-1,254
1,1,64
0,-1,86
1,-1,92
0,1,229
1,-1,154
0,1,200
0,1,41
1,1,39
0,-1,259
0,1,17
0,1,63
1,1,162
1,1,293
0,1,97
1,-1,185
1,1,298
