Side,Noise,Image,TopLeft,TopMid,TopRight,BottomLeft,BottomMid,BottomRight
1,1,245,CFD-WM-033-025-N.jpg,CFD-BM-242-233-N.jpg,CFD-BM-044-038-HC.jpg,CFD-BM-230-232-N.jpg,CFD-WM-217-070-N.jpg,CFD-WM-004-006-HO.jpg
1,-1,152,CFD-WM-026-001-N.jpg,CFD-WM-024-010-A.jpg,CFD-BM-252-161-N.jpg,CFD-WM-023-001-N.jpg,CFD-BM-028-012-A.jpg,CFD-BM-021-021-N.jpg
0,-1,226,CFD-WM-218-074-N.jpg,CFD-BM-037-041-A.jpg,CFD-BM-225-154-N.jpg,CFD-WM-039-004-HC.jpg,CFD-WM-200-034-N.jpg,CFD-BM-029-026-HC.jpg
0,-1,49,CFD-WM-022-008-A.jpg,CFD-BM-019-002-N.jpg,CFD-WM-034-030-N.jpg,CFD-BM-022-027-HO.jpg,CFD-BM-046-006-N.jpg,CFD-WM-025-022-F.jpg
1,-1,179,CFD-BM-021-029-F.jpg,CFD-BM-019-049-F.jpg,CFD-WM-220-068-N.jpg,CFD-BM-022-004-HC.jpg,CFD-WM-205-007-N.jpg,CFD-WM-015-009-HC.jpg
0,1,64,CFD-BM-039-044-F.jpg,CFD-BM-031-009-HC.jpg,CFD-WM-201-063-N.jpg,CFD-WM-010-020-F.jpg,CFD-WM-040-022-N.jpg,CFD-BM-037-038-HC.jpg
1,1,222,CFD-BM-207-024-N.jpg,CFD-BM-016-042-A.jpg,CFD-BM-023-006-HO.jpg,CFD-WM-026-013-F.jpg,CFD-WM-012-005-HO.jpg,CFD-WM-025-008-A.jpg
0,1,80,CFD-BM-002-016-A.jpg,CFD-BM-045-004-N.jpg,CFD-WM-200-034-N.jpg,CFD-WM-041-021-N.jpg,CFD-BM-045-057-HC.jpg,CFD-WM-234-118-N.jpg
0,1,253,CFD-BM-039-034-HO.jpg,CFD-WM-034-027-F.jpg,CFD-WM-237-052-N.jpg,CFD-WM-025-008-A.jpg,CFD-BM-224-073-N.jpg,CFD-BM-040-030-HO.jpg
0,1,153,CFD-BM-017-035-A.jpg,CFD-WM-032-008-HC.jpg,CFD-BM-224-073-N.jpg,CFD-BM-010-003-N.jpg,CFD-WM-040-022-N.jpg,CFD-WM-231-112-N.jpg
0,1,286,CFD-BM-031-003-N.jpg,CFD-WM-028-003-N.jpg,CFD-BM-003-031-F.jpg,CFD-WM-023-001-N.jpg,CFD-BM-024-001-N.jpg,CFD-WM-238-020-N.jpg
0,1,184,CFD-WM-014-008-HC.jpg,CFD-WM-207-048-N.jpg,CFD-BM-030-003-N.jpg,CFD-WM-014-004-HO.jpg,CFD-BM-020-024-HC.jpg,CFD-BM-043-014-A.jpg
0,1,143,CFD-WM-019-003-N.jpg,CFD-BM-010-004-HO.jpg,CFD-BM-041-048-A.jpg,CFD-WM-231-112-N.jpg,CFD-WM-037-025-N.jpg,CFD-BM-209-088-N.jpg
1,-1,258,CFD-BM-238-242-N.jpg,CFD-WM-245-123-N.jpg,CFD-BM-247-240-N.jpg,CFD-WM-016-002-HO.jpg,CFD-WM-032-014-A.jpg,CFD-BM-036-045-F.jpg
1,-1,259,CFD-WM-017-011-A.jpg,CFD-BM-241-235-N.jpg,CFD-BM-036-037-A.jpg,CFD-WM-221-091-N.jpg,CFD-BM-012-018-N.jpg,CFD-WM-001-007-HC.jpg
