Side,Noise,Image
0,-1,104
1,1,294
1,-1,8
1,1,171
0,1,74
1,-1,40
1,1,191
1,1,36
0,-1,266
1,1,92
1,-1,47
1,-1,58
1,1,95
0,1,100
0,-1,110
1,1,25
1,-1,61
1,1,292
0,-1,217
0,1,11
1,1,276
1,1,51
0,1,188
1,-1,16
1,1,289
1,1,218
1,-1,215
1,-1,264
0,-1,286
0,-1,201
1,-1,155
0,-1,204
1,1,136
1,1,105
1,-1,78
1,1,111
0,-1,263
0,-1,152
1,-1,137
1,1,220
1,-1,228
0,-1,250
0,1,60
1,-1,216
1,-1,42
1,-1,94
1,-1,242
1,-1,57
1,1,90
1,1,300
0,-1,43
0,-1,89
1,1,202
1,-1,156
0,1,27
1,-1,267
0,1,17
0,1,32
0,1,15
1,-1,248
1,-1,254
1,1,115
0,-1,281
1,1,179
0,-1,121
1,-1,56
0,-1,299
0,-1,5
1,1,20
0,-1,80
0,1,187
0,1,257
1,1,160
1,1,241
1,1,139
1,1,274
0,1,119
1,-1,113
0,-1,249
0,-1,134
1,1,22
0,-1,72
1,1,122
1,1,41
0,1,195
1,1,165
1,1,132
1,-1,158
1,1,142
1,-1,106
0,-1,107
0,1,219
0,1,196
1,-1,1
1,-1,112
0,-1,131
0,-1,29
1,1,159
1,1,269
0,-1,101
1,1,295
1,-1,293
1,-1,77
0,-1,146
0,1,181
1,1,71
0,1,109
1,-1,168
1,-1,161
0,1,33
1,-1,75
1,-1,68
1,1,245
0,-1,233
1,-1,287
1,1,173
0,-1,9
0,1,141
0,-1,236
1,1,237
0,-1,76
1,1,200
0,-1,182
0,-1,207
0,1,239
1,-1,162
0,-1,178
1,1,4
1,-1,38
0,-1,81
1,1,87
1,1,21
1,1,144
1,-1,59
1,-1,262
0,1,96
0,1,150
1,1,127
1,-1,177
0,-1,153
0,1,23
0,1,277
1,-1,169
1,1,123
0,1,164
0,1,288
0,-1,199
0,-1,224
0,-1,49
0,1,211
1,-1,88
0,1,221
1,-1,46
0,-1,226
1,-1,45
1,1,148
1,1,225
0,-1,189
1,-1,298
0,1,265
1,-1,145
0,-1,65
0,-1,19
0,1,39
0,1,175
1,-1,246
1,1,194
1,1,291
1,-1,66
1,-1,157
1,-1,253
1,1,118
1,-1,129
1,-1,128
1,-1,285
0,1,62
1,1,133
0,1,117
1,1,180
1,-1,114
1,1,37
1,-1,282
1,1,48
0,-1,86
1,-1,243
0,1,120
1,1,10
0,-1,50
1,1,151
1,1,67
0,1,172
0,-1,212
1,1,234
1,1,273
1,-1,99
1,1,214
1,1,149
1,1,170
1,1,174
0,1,259
1,1,83
0,1,227
0,1,230
0,1,244
0,1,240
1,1,7
0,1,290
0,1,258
1,1,203
1,1,18
1,1,138
0,-1,283
1,-1,84
1,-1,229
0,-1,235
1,-1,213
0,1,143
0,-1,35
1,-1,205
0,-1,268
1,-1,28
0,-1,192
0,1,275
1,-1,183
0,-1,135
1,1,247
1,-1,166
0,1,91
0,1,186
0,1,252
0,-1,184
1,1,26
1,-1,238
0,-1,124
0,-1,13
1,1,73
0,1,255
0,1,278
1,-1,279
0,1,93
1,-1,70
0,1,44
1,-1,130
0,-1,223
0,-1,108
1,1,126
0,1,12
1,-1,256
1,-1,85
1,1,232
0,-1,167
0,-1,284
1,-1,206
0,1,6
0,-1,197
1,-1,271
0,1,125
1,-1,222
1,-1,52
0,-1,163
0,-1,54
1,1,97
1,1,31
0,1,98
0,1,260
1,-1,34
1,-1,53
1,-1,79
0,-1,261
1,-1,30
0,-1,280
0,1,193
1,1,69
1,-1,2
0,1,272
0,1,82
1,1,24
0,1,14
0,1,210
0,-1,231
0,-1,116
0,-1,102
1,1,209
0,-1,198
1,1,190
1,-1,55
1,-1,296
1,-1,64
0,1,208
1,-1,251
1,-1,185
1,-1,154
0,-1,176
1,-1,147
0,-1,103
1,1,297
1,1,270
0,1,63
0,1,3
0,-1,140
