Side,Noise,Image,TopLeft,TopMid,TopRight,BottomLeft,BottomMid,BottomRight
1,-1,255,CFD-BM-015-017-HC.jpg,CFD-BM-026-041-F.jpg,CFD-BM-237-188-N.jpg,CFD-WM-001-007-HC.jpg,CFD-BM-234-172-N.jpg,CFD-BM-046-042-HC.jpg
0,1,214,CFD-BM-020-026-HO.jpg,CFD-BM-033-003-N.jpg,CFD-BM-015-017-HC.jpg,CFD-BM-013-019-F.jpg,CFD-WM-001-007-HC.jpg,CFD-BM-026-041-F.jpg
1,-1,198,CFD-BM-010-004-HO.jpg,CFD-BM-030-003-N.jpg,CFD-WM-001-007-HC.jpg,CFD-BM-009-002-N.jpg,CFD-BM-250-170-N.jpg,CFD-BM-024-061-HO.jpg
0,-1,163,CFD-BM-046-039-HO.jpg,CFD-BM-011-016-N.jpg,CFD-BM-022-030-A.jpg,CFD-BM-038-004-HC.jpg,CFD-WM-001-007-HC.jpg,CFD-BM-239-136-N.jpg
1,1,28,CFD-BM-025-045-A.jpg,CFD-WM-001-007-HC.jpg,CFD-BM-041-041-HO.jpg,CFD-BM-242-233-N.jpg,CFD-BM-029-026-HC.jpg,CFD-BM-041-045-HC.jpg
0,-1,269,CFD-BM-020-037-A.jpg,CFD-WM-001-007-HC.jpg,CFD-BM-232-213-N.jpg,CFD-BM-021-009-HC.jpg,CFD-BM-021-021-N.jpg,CFD-BM-224-073-N.jpg
0,-1,8,CFD-BM-009-006-HC.jpg,CFD-BM-038-038-A.jpg,CFD-BM-003-003-N.jpg,CFD-BM-202-063-N.jpg,CFD-WM-001-007-HC.jpg,CFD-BM-039-031-HC.jpg
1,-1,142,CFD-BM-045-004-N.jpg,CFD-BM-228-145-N.jpg,CFD-BM-022-027-HO.jpg,CFD-BM-248-128-N.jpg,CFD-WM-001-007-HC.jpg,CFD-BM-003-003-N.jpg
1,-1,183,CFD-BM-025-051-F.jpg,CFD-BM-219-141-N.jpg,CFD-WM-001-007-HC.jpg,CFD-BM-043-014-A.jpg,CFD-BM-036-003-N.jpg,CFD-BM-041-045-HC.jpg
0,-1,78,CFD-BM-204-003-N.jpg,CFD-BM-252-161-N.jpg,CFD-WM-001-007-HC.jpg,CFD-BM-011-019-HC.jpg,CFD-BM-232-213-N.jpg,CFD-BM-045-061-A.jpg
1,1,150,CFD-BM-021-009-HC.jpg,CFD-BM-018-007-HO.jpg,CFD-BM-247-240-N.jpg,CFD-BM-036-045-F.jpg,CFD-BM-022-030-A.jpg,CFD-WM-001-007-HC.jpg
0,1,157,CFD-BM-015-012-A.jpg,CFD-BM-046-006-N.jpg,CFD-BM-016-040-HO.jpg,CFD-WM-001-007-HC.jpg,CFD-BM-232-213-N.jpg,CFD-BM-021-009-HC.jpg
0,-1,71,CFD-BM-019-002-N.jpg,CFD-BM-037-038-HC.jpg,CFD-WM-001-007-HC.jpg,CFD-BM-033-029-HO.jpg,CFD-BM-219-141-N.jpg,CFD-BM-018-007-HO.jpg
0,-1,258,CFD-BM-037-036-HO.jpg,CFD-BM-236-248-N.jpg,CFD-BM-036-045-F.jpg,CFD-BM-011-016-N.jpg,CFD-WM-001-007-HC.jpg,CFD-BM-013-004-HO.jpg
1,-1,284,CFD-BM-018-004-HC.jpg,CFD-WM-001-007-HC.jpg,CFD-BM-033-032-A.jpg,CFD-BM-026-006-HC.jpg,CFD-BM-026-041-F.jpg,CFD-BM-240-207-N.jpg
0,-1,79,CFD-WM-001-007-HC.jpg,CFD-BM-043-071-N.jpg,CFD-BM-238-242-N.jpg,CFD-BM-015-012-A.jpg,CFD-BM-021-009-HC.jpg,CFD-BM-002-013-N.jpg
