Side,Noise,Image
0,-1,268
0,1,175
1,-1,220
1,-1,55
0,-1,206
0,1,17
0,1,82
1,-1,134
0,-1,276
1,-1,5
1,1,42
0,-1,40
0,-1,199
1,-1,36
0,1,45
0,1,48
1,-1,289
0,1,113
1,-1,200
0,-1,146
0,1,98
1,-1,124
1,1,158
0,1,163
1,-1,280
0,1,26
0,-1,114
1,1,267
0,1,195
1,1,117
0,1,53
1,-1,160
1,-1,172
0,-1,32
1,-1,148
1,-1,18
0,1,80
0,-1,293
0,1,258
1,1,51
0,-1,278
0,-1,166
0,-1,183
1,1,227
0,1,246
0,1,149
0,-1,67
0,1,232
0,-1,138
1,1,123
1,-1,11
1,-1,105
1,1,191
0,1,141
1,1,84
1,1,205
0,-1,168
1,-1,77
0,-1,104
0,-1,281
0,-1,188
0,1,156
0,1,69
1,-1,62
0,-1,57
0,-1,187
0,-1,109
1,1,286
0,-1,196
0,-1,234
0,1,143
0,-1,56
1,-1,291
0,-1,95
0,-1,263
0,-1,204
0,-1,49
0,1,61
1,-1,60
0,-1,241
1,-1,182
1,-1,208
1,1,165
1,-1,287
0,1,252
0,-1,126
0,-1,128
0,-1,236
0,1,207
0,1,185
1,1,79
0,-1,170
0,1,154
0,1,202
0,1,296
0,1,142
0,1,137
1,-1,210
0,-1,43
0,1,213
1,-1,129
1,1,52
1,1,243
0,-1,132
0,-1,76
1,1,299
1,1,178
1,-1,93
0,-1,10
0,-1,266
0,1,85
1,-1,273
1,-1,4
1,-1,228
1,1,162
0,-1,103
0,1,186
0,1,197
0,-1,29
0,-1,35
1,-1,30
1,1,180
0,-1,169
0,1,83
0,1,121
1,-1,194
0,1,221
1,-1,298
0,1,238
1,-1,41
0,1,249
0,-1,288
0,-1,233
1,-1,64
0,1,174
1,1,68
0,1,100
1,-1,297
1,1,212
1,1,31
0,-1,254
1,-1,157
0,-1,131
1,-1,235
1,1,75
0,-1,242
1,1,190
0,-1,211
1,-1,44
1,-1,89
0,1,150
0,-1,127
0,1,90
0,1,282
0,1,251
0,1,91
0,-1,63
0,1,7
0,1,50
0,1,292
0,1,34
1,-1,189
1,1,264
1,-1,86
0,-1,215
0,1,107
0,1,265
0,1,116
1,-1,257
0,1,255
0,1,167
1,-1,59
1,1,140
1,-1,147
1,1,15
1,-1,184
0,1,120
1,1,19
1,1,244
1,-1,108
1,-1,226
1,1,179
0,1,270
1,1,177
0,-1,78
0,1,14
1,1,28
0,-1,279
1,1,112
1,-1,239
1,-1,81
0,-1,253
1,-1,73
0,-1,106
0,1,133
1,-1,38
0,1,259
0,1,102
0,1,94
0,-1,8
0,1,111
0,-1,46
0,1,110
1,-1,223
1,-1,12
0,-1,58
1,1,25
1,-1,155
0,1,300
1,1,136
1,1,122
1,1,250
1,-1,97
1,-1,245
1,1,261
0,1,23
0,1,66
1,1,71
0,-1,219
0,-1,119
0,1,20
0,1,139
0,-1,74
0,-1,275
1,-1,231
0,-1,284
1,-1,152
0,-1,118
0,-1,229
0,-1,192
0,1,72
1,-1,39
1,-1,171
0,1,222
0,-1,217
1,1,237
1,-1,6
1,1,240
0,-1,269
1,-1,135
1,1,290
0,1,274
0,1,201
0,1,115
0,1,277
0,1,159
0,-1,262
1,-1,176
1,1,295
1,-1,70
1,-1,214
1,-1,271
1,-1,145
1,-1,260
0,1,209
0,-1,164
0,1,24
0,-1,125
1,-1,248
1,-1,144
0,1,54
0,1,3
1,-1,13
0,-1,1
0,1,65
1,1,193
1,1,130
1,1,173
1,1,99
0,-1,33
1,1,218
1,1,198
0,1,224
0,1,203
1,-1,27
1,-1,101
1,-1,181
0,1,230
0,1,153
1,-1,161
1,-1,225
1,1,88
0,-1,87
0,1,96
0,1,272
0,-1,151
0,1,92
0,-1,247
1,1,216
1,-1,285
1,1,2
1,-1,21
0,-1,9
0,1,256
0,1,294
0,1,16
1,-1,283
0,1,37
0,-1,22
0,1,47
